Cell ID,Minute,x,y,z
4400035,44,913.4768,559.30756,421.42804
4400036,44,471.94003,115.31858,424.17203
4400037,44,230.66704,227.60966,424.26788
4400038,44,457.17422,163.08202,425.88257
4400039,44,372.32562,177.07745,426.07144
4400040,44,783.91766,801.30493,427.5762
4400041,44,831.906,544.97437,438.7813
4400042,44,831.1728,421.8994,443.77203
4400043,44,876.7453,359.89233,447.21292
4400044,44,759.63525,206.44109,448.4014
4400045,44,815.9957,259.15396,448.71185
4400046,44,893.5514,503.85696,450.97824
4400047,44,501.28143,897.82916,453.33478
4400048,44,647.08704,868.6771,455.13956
4400049,44,177.22134,361.16208,459.066
4400050,44,797.2314,738.6754,459.44885
4400051,44,812.1391,486.46667,459.63177
4400052,44,730.1131,374.3811,464.39877
4400053,44,226.71251,293.60666,465.2436
4400054,44,867.59894,596.27484,465.94824
4400055,44,589.8692,816.9794,466.46158
4400056,44,189.68327,537.1373,467.3106
4400057,44,769.802,653.3995,467.3934
4400058,44,703.85693,817.0416,467.76782
4400059,44,848.8294,674.38947,468.31067
4400060,44,305.29788,768.0205,468.60406
4400061,44,575.98285,892.979,469.10202
4400062,44,192.38145,435.13342,469.56546
4400063,44,426.73367,867.4217,469.98813
4400064,44,891.78314,439.88925,471.95303
4400065,44,181.4658,436.74408,472.64514
4400066,44,786.4038,362.72693,474.9097
4400067,44,212.19247,604.2471,476.75616
4400068,44,762.1422,564.6883,478.87192
4400069,44,743.13983,292.8199,479.396
4400070,44,361.20795,812.8115,479.87912
4400071,44,832.0962,312.77124,480.83218
4400072,44,691.2964,728.4324,481.3857
4400073,44,739.68933,224.57442,483.79218
4400074,44,765.3057,443.9034,487.81686
4400075,44,352.87262,263.29947,490.6388
4400076,44,264.73093,429.29495,493.10724
4400077,44,722.4419,506.77936,493.30045
4400078,44,471.51688,205.61884,494.32333
4400079,44,653.61694,168.62769,494.34277
4400080,44,439.70413,346.59583,494.40228
4400081,44,219.4249,664.3029,494.87735
4400082,44,457.5475,744.4915,496.3405
4400083,44,608.62506,468.15662,497.2188
4400084,44,395.29407,440.97974,497.4607
4400085,44,313.02344,205.76945,497.8098
4400086,44,515.9884,385.59836,498.3659
4400087,44,492.3416,534.5848,498.61392
4400088,44,467.72824,438.07336,498.70023
4400089,44,373.93048,344.93958,498.98947
4400090,44,676.9079,444.5166,499.38162
4400091,44,533.48505,133.8637,500.0964
4400092,44,625.0239,632.7644,501.2219
4400093,44,545.1199,208.8215,501.77768
4400094,44,345.2039,406.1008,501.8199
4400095,44,275.14996,718.3301,503.3587
4400096,44,592.58575,260.41605,503.74652
4400097,44,626.5519,212.61993,504.20184
4400098,44,266.2979,509.7513,505.50516
4400099,44,437.7186,668.25464,507.01114
4400100,44,253.31694,282.99213,507.46548
4400101,44,225.06354,355.2122,510.16083
4400102,44,615.8072,702.33234,510.5489
4400103,44,856.96893,400.62064,510.75558
4400104,44,693.9704,333.8405,515.6024
